"t","y","dy","Filter"
"57481.56067","0.403662","0.041563","X4"
"57481.76089","0.338634","0.03457","X4"
"57481.89411","0.307486","0.02537","X4"
"57482.16072","0.383221","0.05826","X4"
"57482.35973","0.41404","0.03781","X4"
"57482.55934","0.561156","0.05241","X4"
"57482.7583","0.499604","0.052749","X4"
"57482.88886","0.447706","0.073034","X4"
"57483.15729","0.39267","0.039814","X4"
"57483.29021","0.396628","0.044232","X4"
"57483.49091","0.475062","0.042272","X4"
"57483.62423","0.482184","0.043285","X4"
"57483.82292","0.523242","0.050622","X4"
"57484.15496","0.432696","0.047178","X4"
"57484.28859","0.434409","0.038797","X4"
"57484.48699","0.51449","0.058583","X4"
"57484.68769","0.461974","0.044167","X4"
"57484.81969","0.576756","0.046054","X4"
"57485.15191","0.494482","0.047835","X4"
"57485.35282","0.489948","0.043733","X4"
"57485.49839","0.461707","0.045878","X4"
"57485.75435","0.449766","0.045193","X4"
"57485.82089","0.486249","0.045246","X4"
"57486.14944","0.404221","0.047744","X4"
"57486.35509","0.326259","0.039611","X4"
"57486.49371","0.398292","0.036562","X4"
"57486.6286","0.362247","0.033743","X4"
"57486.82639","0.32802","0.033693","X4"
"57487.14631","0.381432","0.040321","X4"
"57487.28617","0.408534","0.04199","X4"
"57487.48409","0.404902","0.043352","X4"
"57487.67956","0.463626","0.057417","X4"
"57487.82505","0.457767","0.043372","X4"
"57488.14327","0.353902","0.032982","X4"
"57488.4819","0.532571","0.064871","X4"
"57488.61521","0.537823","0.055798","X4"
"57489.14059","0.397123","0.039133","X4"
"57489.34308","0.337095","0.02788","X4"
"57489.48791","0.229176","0.026124","X4"
"57489.67434","0.365986","0.038368","X4"
"57489.81523","0.372856","0.04175","X4"
"57490.13747","0.28291","0.039522","X4"
"57490.47383","0.351893","0.042257","X4"
"57490.67552","0.308132","0.025068","X4"
"57490.88426","0.276918","0.031589","X4"
"57491.33819","0.437546","0.0383","X4"
"57491.53715","0.313914","0.024632","X4"
"57491.67044","0.367356","0.041017","X4"
"57491.80991","0.292597","0.025362","X4"
"57492.33621","0.389464","0.038639","X4"
"57492.46851","0.331158","0.03542","X4"
"57492.60084","0.416861","0.042026","X4"
"57492.87715","0.381894","0.039433","X4"
"57493.26723","0.371812","0.033773","X4"
"57493.53139","0.547195","0.053738","X4"
"57493.66511","0.468392","0.046649","X4"
"57493.87551","0.528762","0.047061","X4"
"57494.26209","0.410792","0.039561","X4"
"57494.46207","0.419342","0.0444","X4"
"57494.66306","0.287467","0.034026","X4"
"57494.80025","0.339336","0.02937","X4"
"57495.008","0.183976","0.024405","X4"
"57495.26063","0.200684","0.018635","X4"
"57495.45958","0.369112","0.03759","X4"
"57495.86662","0.206543","0.021162","X4"
"57496.0048","0.311203","0.034444","X4"
"57496.25786","0.20989","0.021966","X4"
"57496.45612","0.34712","0.041584","X4"
"57496.6569","0.287304","0.031517","X4"
"57496.86321","0.294819","0.024486","X4"
"57497.19008","0.254033","0.031211","X4"
"57497.32044","0.412745","0.03813","X4"
"57497.45339","0.324145","0.034407","X4"
"57497.72077","0.360177","0.032718","X4"
"57497.85974","0.199465","0.020995","X4"
"57498.06524","0.347435","0.036246","X4"
"57498.25222","0.330745","0.035532","X4"
"57498.45074","0.277584","0.023839","X4"
"57498.71746","0.386052","0.031571","X4"
"57498.85635","0.361416","0.033623","X4"
"57499.05811","0.290602","0.054218","X4"
"57499.06583","0.389508","0.046758","X4"
"57499.70792","0.307657","0.082225","X4"
"57499.91581","0.24316","0.073315","X4"
"57499.92623","0.352293","0.086106","X4"
"57500.059","0.28048","0.032249","X4"
"57500.31092","0.350663","0.041686","X4"
"57500.50968","0.23791","0.025507","X4"
"57500.71023","0.19939","0.020232","X4"
"57500.91778","0.141227","0.016169","X4"
"57501.05494","0.170235","0.020441","X4"
"57501.2414","0.161055","0.019345","X4"
"57501.50819","0.229507","0.02684","X4"
"57501.77595","0.18226","0.019657","X4"
"57501.91463","0.186319","0.024444","X4"
"57502.10524","0.217333","0.023266","X4"
"57502.30467","0.180021","0.025985","X4"
"57502.77245","0.16196","0.017314","X4"
"57502.91251","0.175464","0.021227","X4"
"57503.0453","0.162387","0.017439","X4"
"57503.30896","0.174704","0.02005","X4"
"57503.5036","0.13382","0.015629","X4"
"57503.64317","0.118032","0.021981","X4"
"57503.90688","0.137691","0.015796","X4"
"57504.03822","0.155419","0.017409","X4"
"57504.29773","0.147141","0.017827","X4"
"57504.49811","0.175557","0.018191","X4"
"57504.70191","0.225781","0.025855","X4"
"57504.91392","0.178358","0.056402","X4"
"57505.10261","0.182245","0.01767","X4"
"57505.29648","0.188225","0.019898","X4"
"57505.56078","0.196516","0.018473","X4"
"57505.69817","0.198693","0.025706","X4"
"57505.83049","0.167857","0.018104","X4"
"57438.04346","0.327663","0.038117","X3"
"57438.36305","0.236348","0.028147","X3"
"57438.49633","0.304373","0.030132","X3"
"57438.69553","0.435657","0.048204","X3"
"57438.89851","0.361394","0.032112","X3"
"57439.03948","0.310897","0.025596","X3"
"57439.36061","0.291833","0.032328","X3"
"57439.56926","0.286007","0.02985","X3"
"57439.70501","0.431984","0.04943","X3"
"57439.89459","0.295777","0.041108","X3"
"57440.0375","0.22218","0.020857","X3"
"57440.42692","0.243747","0.019455","X3"
"57440.56835","0.195209","0.018132","X3"
"57440.76372","0.390406","0.044691","X3"
"57440.9013","0.248541","0.021551","X3"
"57441.03471","0.339203","0.035533","X3"
